id,contract,venue,desk,trader,bid,ask,spread,filled,status,trendSeed,updatedAt
37367,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,62.20,62.30,0.10,94,Monitoring,28,2s ago
37368,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,63.90,64.05,0.15,11,At risk,29,3s ago
37369,Copper Jan 26,Chicago,D-251,Maya Chen,65.60,65.80,0.20,24,Open,12,4s ago
37370,Nickel Mar 26,Singapore,D-628,Noah Park,67.30,67.55,0.25,37,Filled,13,5s ago
37371,Aluminum May 26,Frankfurt,D-844,Iris Chen,69.00,69.05,0.05,50,Monitoring,14,1s ago
37372,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,70.70,70.80,0.10,63,At risk,15,2s ago
37373,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,72.40,72.55,0.15,76,Open,16,3s ago
37374,Cotton Nov 26,Singapore,D-2874,Luca Perez,74.10,74.30,0.20,89,Filled,17,4s ago
37375,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,75.80,76.05,0.25,8,Monitoring,18,5s ago
37376,Wheat Mar 26,Sao Paulo,D-628,Noah Park,77.50,77.55,0.05,19,At risk,19,1s ago
37377,Copper May 26,Chicago,D-844,Iris Chen,79.20,79.30,0.10,32,Open,20,2s ago
37378,Nickel Jul 26,Singapore,D-1071,Sofia Bell,80.90,81.05,0.15,45,Filled,21,3s ago
37379,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,82.60,82.80,0.20,58,Monitoring,22,4s ago
37380,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,84.30,84.55,0.25,71,At risk,23,5s ago
37381,Cocoa Jan 26,Chicago,D-251,Maya Chen,86.00,86.05,0.05,84,Open,24,1s ago
37382,Cotton Mar 26,Singapore,D-628,Noah Park,87.70,87.80,0.10,8,Filled,25,2s ago
37383,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,89.40,89.55,0.15,14,Monitoring,26,3s ago
37384,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,91.10,91.30,0.20,27,At risk,27,4s ago
37385,Copper Sep 26,Chicago,D-1563,Theo Ivanov,60.80,61.05,0.25,40,Open,28,5s ago
37386,Nickel Nov 26,Singapore,D-2874,Luca Perez,62.50,62.55,0.05,53,Filled,29,1s ago
37387,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,64.20,64.30,0.10,66,Monitoring,12,2s ago
37388,Lithium Mar 26,Sao Paulo,D-628,Noah Park,65.90,66.05,0.15,79,At risk,13,3s ago
37389,Cocoa May 26,Chicago,D-844,Iris Chen,67.60,67.80,0.20,92,Open,14,4s ago
37390,Cotton Jul 26,Singapore,D-1071,Sofia Bell,69.30,69.55,0.25,9,Filled,15,5s ago
37391,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,71.00,71.05,0.05,22,Monitoring,16,1s ago
37392,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,72.70,72.80,0.10,35,At risk,17,2s ago
37393,Copper Jan 26,Chicago,D-251,Maya Chen,74.40,74.55,0.15,48,Open,18,3s ago
37394,Nickel Mar 26,Singapore,D-628,Noah Park,76.10,76.30,0.20,61,Filled,19,4s ago
37395,Aluminum May 26,Frankfurt,D-844,Iris Chen,77.80,78.05,0.25,74,Monitoring,20,5s ago
37396,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,79.50,79.55,0.05,87,At risk,21,1s ago
37397,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,81.20,81.30,0.10,8,Open,22,2s ago
37398,Cotton Nov 26,Singapore,D-2874,Luca Perez,82.90,83.05,0.15,17,Filled,23,3s ago
37399,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,84.60,84.80,0.20,30,Monitoring,24,4s ago
37400,Wheat Mar 26,Sao Paulo,D-628,Noah Park,86.30,86.55,0.25,43,At risk,25,5s ago
37401,Copper May 26,Chicago,D-844,Iris Chen,88.00,88.05,0.05,56,Open,26,1s ago
37402,Nickel Jul 26,Singapore,D-1071,Sofia Bell,89.70,89.80,0.10,69,Filled,27,2s ago
37403,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,91.40,91.55,0.15,82,Monitoring,28,3s ago
37404,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,61.10,61.30,0.20,95,At risk,29,4s ago
37405,Cocoa Jan 26,Chicago,D-251,Maya Chen,62.80,63.05,0.25,12,Open,12,5s ago
37406,Cotton Mar 26,Singapore,D-628,Noah Park,64.50,64.55,0.05,25,Filled,13,1s ago
37407,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,66.20,66.30,0.10,38,Monitoring,14,2s ago
37408,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,67.90,68.05,0.15,51,At risk,15,3s ago
37409,Copper Sep 26,Chicago,D-1563,Theo Ivanov,69.60,69.80,0.20,64,Open,16,4s ago
37410,Nickel Nov 26,Singapore,D-2874,Luca Perez,71.30,71.55,0.25,77,Filled,17,5s ago
37411,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,73.00,73.05,0.05,90,Monitoring,18,1s ago
37412,Lithium Mar 26,Sao Paulo,D-628,Noah Park,74.70,74.80,0.10,8,At risk,19,2s ago
37413,Cocoa May 26,Chicago,D-844,Iris Chen,76.40,76.55,0.15,20,Open,20,3s ago
37414,Cotton Jul 26,Singapore,D-1071,Sofia Bell,78.10,78.30,0.20,33,Filled,21,4s ago
37415,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,79.80,80.05,0.25,46,Monitoring,22,5s ago
37416,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,81.50,81.55,0.05,59,At risk,23,1s ago
37417,Copper Jan 26,Chicago,D-251,Maya Chen,83.20,83.30,0.10,72,Open,24,2s ago
37418,Nickel Mar 26,Singapore,D-628,Noah Park,84.90,85.05,0.15,85,Filled,25,3s ago
37419,Aluminum May 26,Frankfurt,D-844,Iris Chen,86.60,86.80,0.20,8,Monitoring,26,4s ago
37420,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,88.30,88.55,0.25,15,At risk,27,5s ago
37421,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,90.00,90.05,0.05,28,Open,28,1s ago
37422,Cotton Nov 26,Singapore,D-2874,Luca Perez,91.70,91.80,0.10,41,Filled,29,2s ago
37423,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,61.40,61.55,0.15,54,Monitoring,12,3s ago
37424,Wheat Mar 26,Sao Paulo,D-628,Noah Park,63.10,63.30,0.20,67,At risk,13,4s ago
37425,Copper May 26,Chicago,D-844,Iris Chen,64.80,65.05,0.25,80,Open,14,5s ago
37426,Nickel Jul 26,Singapore,D-1071,Sofia Bell,66.50,66.55,0.05,93,Filled,15,1s ago
37427,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,68.20,68.30,0.10,10,Monitoring,16,2s ago
37428,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,69.90,70.05,0.15,23,At risk,17,3s ago
37429,Cocoa Jan 26,Chicago,D-251,Maya Chen,71.60,71.80,0.20,36,Open,18,4s ago
37430,Cotton Mar 26,Singapore,D-628,Noah Park,73.30,73.55,0.25,49,Filled,19,5s ago
37431,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,75.00,75.05,0.05,62,Monitoring,20,1s ago
37432,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,76.70,76.80,0.10,75,At risk,21,2s ago
37433,Copper Sep 26,Chicago,D-1563,Theo Ivanov,78.40,78.55,0.15,88,Open,22,3s ago
37434,Nickel Nov 26,Singapore,D-2874,Luca Perez,80.10,80.30,0.20,8,Filled,23,4s ago
37435,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,81.80,82.05,0.25,18,Monitoring,24,5s ago
37436,Lithium Mar 26,Sao Paulo,D-628,Noah Park,83.50,83.55,0.05,31,At risk,25,1s ago
37437,Cocoa May 26,Chicago,D-844,Iris Chen,85.20,85.30,0.10,44,Open,26,2s ago
37438,Cotton Jul 26,Singapore,D-1071,Sofia Bell,86.90,87.05,0.15,57,Filled,27,3s ago
37439,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,88.60,88.80,0.20,70,Monitoring,28,4s ago
37440,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,90.30,90.55,0.25,83,At risk,29,5s ago
37441,Copper Jan 26,Chicago,D-251,Maya Chen,60.00,60.05,0.05,8,Open,12,1s ago
37442,Nickel Mar 26,Singapore,D-628,Noah Park,61.70,61.80,0.10,13,Filled,13,2s ago
37443,Aluminum May 26,Frankfurt,D-844,Iris Chen,63.40,63.55,0.15,26,Monitoring,14,3s ago
37444,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,65.10,65.30,0.20,39,At risk,15,4s ago
37445,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,66.80,67.05,0.25,52,Open,16,5s ago
37446,Cotton Nov 26,Singapore,D-2874,Luca Perez,68.50,68.55,0.05,65,Filled,17,1s ago
37447,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,70.20,70.30,0.10,78,Monitoring,18,2s ago
37448,Wheat Mar 26,Sao Paulo,D-628,Noah Park,71.90,72.05,0.15,91,At risk,19,3s ago
37449,Copper May 26,Chicago,D-844,Iris Chen,73.60,73.80,0.20,8,Open,20,4s ago
37450,Nickel Jul 26,Singapore,D-1071,Sofia Bell,75.30,75.55,0.25,21,Filled,21,5s ago
37451,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,77.00,77.05,0.05,34,Monitoring,22,1s ago
37452,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,78.70,78.80,0.10,47,At risk,23,2s ago
37453,Cocoa Jan 26,Chicago,D-251,Maya Chen,80.40,80.55,0.15,60,Open,24,3s ago
37454,Cotton Mar 26,Singapore,D-628,Noah Park,82.10,82.30,0.20,73,Filled,25,4s ago
37455,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,83.80,84.05,0.25,86,Monitoring,26,5s ago
37456,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,85.50,85.55,0.05,8,At risk,27,1s ago
37457,Copper Sep 26,Chicago,D-1563,Theo Ivanov,87.20,87.30,0.10,16,Open,28,2s ago
37458,Nickel Nov 26,Singapore,D-2874,Luca Perez,88.90,89.05,0.15,29,Filled,29,3s ago
37459,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,90.60,90.80,0.20,42,Monitoring,12,4s ago
37460,Lithium Mar 26,Sao Paulo,D-628,Noah Park,60.30,60.55,0.25,55,At risk,13,5s ago
37461,Cocoa May 26,Chicago,D-844,Iris Chen,62.00,62.05,0.05,68,Open,14,1s ago
37462,Cotton Jul 26,Singapore,D-1071,Sofia Bell,63.70,63.80,0.10,81,Filled,15,2s ago
37463,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,65.40,65.55,0.15,94,Monitoring,16,3s ago
37464,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,67.10,67.30,0.20,11,At risk,17,4s ago
37465,Copper Jan 26,Chicago,D-251,Maya Chen,68.80,69.05,0.25,24,Open,18,5s ago
37466,Nickel Mar 26,Singapore,D-628,Noah Park,70.50,70.55,0.05,37,Filled,19,1s ago
37467,Aluminum May 26,Frankfurt,D-844,Iris Chen,72.20,72.30,0.10,50,Monitoring,20,2s ago
37468,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,73.90,74.05,0.15,63,At risk,21,3s ago
37469,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,75.60,75.80,0.20,76,Open,22,4s ago
37470,Cotton Nov 26,Singapore,D-2874,Luca Perez,77.30,77.55,0.25,89,Filled,23,5s ago
37471,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,79.00,79.05,0.05,8,Monitoring,24,1s ago
37472,Wheat Mar 26,Sao Paulo,D-628,Noah Park,80.70,80.80,0.10,19,At risk,25,2s ago
37473,Copper May 26,Chicago,D-844,Iris Chen,82.40,82.55,0.15,32,Open,26,3s ago
37474,Nickel Jul 26,Singapore,D-1071,Sofia Bell,84.10,84.30,0.20,45,Filled,27,4s ago
37475,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,85.80,86.05,0.25,58,Monitoring,28,5s ago
37476,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,87.50,87.55,0.05,71,At risk,29,1s ago
37477,Cocoa Jan 26,Chicago,D-251,Maya Chen,89.20,89.30,0.10,84,Open,12,2s ago
37478,Cotton Mar 26,Singapore,D-628,Noah Park,90.90,91.05,0.15,8,Filled,13,3s ago
37479,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,60.60,60.80,0.20,14,Monitoring,14,4s ago
37480,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,62.30,62.55,0.25,27,At risk,15,5s ago
37481,Copper Sep 26,Chicago,D-1563,Theo Ivanov,64.00,64.05,0.05,40,Open,16,1s ago
37482,Nickel Nov 26,Singapore,D-2874,Luca Perez,65.70,65.80,0.10,53,Filled,17,2s ago
37483,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,67.40,67.55,0.15,66,Monitoring,18,3s ago
37484,Lithium Mar 26,Sao Paulo,D-628,Noah Park,69.10,69.30,0.20,79,At risk,19,4s ago
37485,Cocoa May 26,Chicago,D-844,Iris Chen,70.80,71.05,0.25,92,Open,20,5s ago
37486,Cotton Jul 26,Singapore,D-1071,Sofia Bell,72.50,72.55,0.05,9,Filled,21,1s ago
37487,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,74.20,74.30,0.10,22,Monitoring,22,2s ago
37488,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,75.90,76.05,0.15,35,At risk,23,3s ago
37489,Copper Jan 26,Chicago,D-251,Maya Chen,77.60,77.80,0.20,48,Open,24,4s ago
37490,Nickel Mar 26,Singapore,D-628,Noah Park,79.30,79.55,0.25,61,Filled,25,5s ago
37491,Aluminum May 26,Frankfurt,D-844,Iris Chen,81.00,81.05,0.05,74,Monitoring,26,1s ago
37492,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,82.70,82.80,0.10,87,At risk,27,2s ago
37493,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,84.40,84.55,0.15,8,Open,28,3s ago
37494,Cotton Nov 26,Singapore,D-2874,Luca Perez,86.10,86.30,0.20,17,Filled,29,4s ago
37495,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,87.80,88.05,0.25,30,Monitoring,12,5s ago
37496,Wheat Mar 26,Sao Paulo,D-628,Noah Park,89.50,89.55,0.05,43,At risk,13,1s ago
37497,Copper May 26,Chicago,D-844,Iris Chen,91.20,91.30,0.10,56,Open,14,2s ago
37498,Nickel Jul 26,Singapore,D-1071,Sofia Bell,60.90,61.05,0.15,69,Filled,15,3s ago
37499,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,62.60,62.80,0.20,82,Monitoring,16,4s ago
37500,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,64.30,64.55,0.25,95,At risk,17,5s ago
37501,Cocoa Jan 26,Chicago,D-251,Maya Chen,66.00,66.05,0.05,12,Open,18,1s ago
37502,Cotton Mar 26,Singapore,D-628,Noah Park,67.70,67.80,0.10,25,Filled,19,2s ago
37503,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,69.40,69.55,0.15,38,Monitoring,20,3s ago
37504,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,71.10,71.30,0.20,51,At risk,21,4s ago
37505,Copper Sep 26,Chicago,D-1563,Theo Ivanov,72.80,73.05,0.25,64,Open,22,5s ago
37506,Nickel Nov 26,Singapore,D-2874,Luca Perez,74.50,74.55,0.05,77,Filled,23,1s ago
37507,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,76.20,76.30,0.10,90,Monitoring,24,2s ago
37508,Lithium Mar 26,Sao Paulo,D-628,Noah Park,77.90,78.05,0.15,8,At risk,25,3s ago
37509,Cocoa May 26,Chicago,D-844,Iris Chen,79.60,79.80,0.20,20,Open,26,4s ago
37510,Cotton Jul 26,Singapore,D-1071,Sofia Bell,81.30,81.55,0.25,33,Filled,27,5s ago
37511,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,83.00,83.05,0.05,46,Monitoring,28,1s ago
37512,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,84.70,84.80,0.10,59,At risk,29,2s ago
37513,Copper Jan 26,Chicago,D-251,Maya Chen,86.40,86.55,0.15,72,Open,12,3s ago
37514,Nickel Mar 26,Singapore,D-628,Noah Park,88.10,88.30,0.20,85,Filled,13,4s ago
37515,Aluminum May 26,Frankfurt,D-844,Iris Chen,89.80,90.05,0.25,8,Monitoring,14,5s ago
37516,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,91.50,91.55,0.05,15,At risk,15,1s ago
37517,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,61.20,61.30,0.10,28,Open,16,2s ago
37518,Cotton Nov 26,Singapore,D-2874,Luca Perez,62.90,63.05,0.15,41,Filled,17,3s ago
37519,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,64.60,64.80,0.20,54,Monitoring,18,4s ago
37520,Wheat Mar 26,Sao Paulo,D-628,Noah Park,66.30,66.55,0.25,67,At risk,19,5s ago
37521,Copper May 26,Chicago,D-844,Iris Chen,68.00,68.05,0.05,80,Open,20,1s ago
37522,Nickel Jul 26,Singapore,D-1071,Sofia Bell,69.70,69.80,0.10,93,Filled,21,2s ago
37523,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,71.40,71.55,0.15,10,Monitoring,22,3s ago
37524,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,73.10,73.30,0.20,23,At risk,23,4s ago
37525,Cocoa Jan 26,Chicago,D-251,Maya Chen,74.80,75.05,0.25,36,Open,24,5s ago
37526,Cotton Mar 26,Singapore,D-628,Noah Park,76.50,76.55,0.05,49,Filled,25,1s ago
37527,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,78.20,78.30,0.10,62,Monitoring,26,2s ago
37528,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,79.90,80.05,0.15,75,At risk,27,3s ago
37529,Copper Sep 26,Chicago,D-1563,Theo Ivanov,81.60,81.80,0.20,88,Open,28,4s ago
37530,Nickel Nov 26,Singapore,D-2874,Luca Perez,83.30,83.55,0.25,8,Filled,29,5s ago
37531,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,85.00,85.05,0.05,18,Monitoring,12,1s ago
37532,Lithium Mar 26,Sao Paulo,D-628,Noah Park,86.70,86.80,0.10,31,At risk,13,2s ago
37533,Cocoa May 26,Chicago,D-844,Iris Chen,88.40,88.55,0.15,44,Open,14,3s ago
37534,Cotton Jul 26,Singapore,D-1071,Sofia Bell,90.10,90.30,0.20,57,Filled,15,4s ago
37535,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,91.80,92.05,0.25,70,Monitoring,16,5s ago
37536,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,61.50,61.55,0.05,83,At risk,17,1s ago
37537,Copper Jan 26,Chicago,D-251,Maya Chen,63.20,63.30,0.10,8,Open,18,2s ago
37538,Nickel Mar 26,Singapore,D-628,Noah Park,64.90,65.05,0.15,13,Filled,19,3s ago
37539,Aluminum May 26,Frankfurt,D-844,Iris Chen,66.60,66.80,0.20,26,Monitoring,20,4s ago
37540,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,68.30,68.55,0.25,39,At risk,21,5s ago
37541,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,70.00,70.05,0.05,52,Open,22,1s ago
37542,Cotton Nov 26,Singapore,D-2874,Luca Perez,71.70,71.80,0.10,65,Filled,23,2s ago
37543,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,73.40,73.55,0.15,78,Monitoring,24,3s ago
37544,Wheat Mar 26,Sao Paulo,D-628,Noah Park,75.10,75.30,0.20,91,At risk,25,4s ago
37545,Copper May 26,Chicago,D-844,Iris Chen,76.80,77.05,0.25,8,Open,26,5s ago
37546,Nickel Jul 26,Singapore,D-1071,Sofia Bell,78.50,78.55,0.05,21,Filled,27,1s ago
37547,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,80.20,80.30,0.10,34,Monitoring,28,2s ago
37548,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,81.90,82.05,0.15,47,At risk,29,3s ago
37549,Cocoa Jan 26,Chicago,D-251,Maya Chen,83.60,83.80,0.20,60,Open,12,4s ago
37550,Cotton Mar 26,Singapore,D-628,Noah Park,85.30,85.55,0.25,73,Filled,13,5s ago
37551,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,87.00,87.05,0.05,86,Monitoring,14,1s ago
37552,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,88.70,88.80,0.10,8,At risk,15,2s ago
37553,Copper Sep 26,Chicago,D-1563,Theo Ivanov,90.40,90.55,0.15,16,Open,16,3s ago
37554,Nickel Nov 26,Singapore,D-2874,Luca Perez,60.10,60.30,0.20,29,Filled,17,4s ago
37555,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,61.80,62.05,0.25,42,Monitoring,18,5s ago
37556,Lithium Mar 26,Sao Paulo,D-628,Noah Park,63.50,63.55,0.05,55,At risk,19,1s ago
37557,Cocoa May 26,Chicago,D-844,Iris Chen,65.20,65.30,0.10,68,Open,20,2s ago
37558,Cotton Jul 26,Singapore,D-1071,Sofia Bell,66.90,67.05,0.15,81,Filled,21,3s ago
37559,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,68.60,68.80,0.20,94,Monitoring,22,4s ago
37560,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,70.30,70.55,0.25,11,At risk,23,5s ago
37561,Copper Jan 26,Chicago,D-251,Maya Chen,72.00,72.05,0.05,24,Open,24,1s ago
37562,Nickel Mar 26,Singapore,D-628,Noah Park,73.70,73.80,0.10,37,Filled,25,2s ago
37563,Aluminum May 26,Frankfurt,D-844,Iris Chen,75.40,75.55,0.15,50,Monitoring,26,3s ago
37564,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,77.10,77.30,0.20,63,At risk,27,4s ago
37565,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,78.80,79.05,0.25,76,Open,28,5s ago
37566,Cotton Nov 26,Singapore,D-2874,Luca Perez,80.50,80.55,0.05,89,Filled,29,1s ago
37567,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,82.20,82.30,0.10,8,Monitoring,12,2s ago
37568,Wheat Mar 26,Sao Paulo,D-628,Noah Park,83.90,84.05,0.15,19,At risk,13,3s ago
37569,Copper May 26,Chicago,D-844,Iris Chen,85.60,85.80,0.20,32,Open,14,4s ago
37570,Nickel Jul 26,Singapore,D-1071,Sofia Bell,87.30,87.55,0.25,45,Filled,15,5s ago
37571,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,89.00,89.05,0.05,58,Monitoring,16,1s ago
37572,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,90.70,90.80,0.10,71,At risk,17,2s ago
37573,Cocoa Jan 26,Chicago,D-251,Maya Chen,60.40,60.55,0.15,84,Open,18,3s ago
37574,Cotton Mar 26,Singapore,D-628,Noah Park,62.10,62.30,0.20,8,Filled,19,4s ago
37575,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,63.80,64.05,0.25,14,Monitoring,20,5s ago
37576,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,65.50,65.55,0.05,27,At risk,21,1s ago
37577,Copper Sep 26,Chicago,D-1563,Theo Ivanov,67.20,67.30,0.10,40,Open,22,2s ago
37578,Nickel Nov 26,Singapore,D-2874,Luca Perez,68.90,69.05,0.15,53,Filled,23,3s ago
37579,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,70.60,70.80,0.20,66,Monitoring,24,4s ago
37580,Lithium Mar 26,Sao Paulo,D-628,Noah Park,72.30,72.55,0.25,79,At risk,25,5s ago
37581,Cocoa May 26,Chicago,D-844,Iris Chen,74.00,74.05,0.05,92,Open,26,1s ago
37582,Cotton Jul 26,Singapore,D-1071,Sofia Bell,75.70,75.80,0.10,9,Filled,27,2s ago
37583,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,77.40,77.55,0.15,22,Monitoring,28,3s ago
37584,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,79.10,79.30,0.20,35,At risk,29,4s ago
37585,Copper Jan 26,Chicago,D-251,Maya Chen,80.80,81.05,0.25,48,Open,12,5s ago
37586,Nickel Mar 26,Singapore,D-628,Noah Park,82.50,82.55,0.05,61,Filled,13,1s ago
37587,Aluminum May 26,Frankfurt,D-844,Iris Chen,84.20,84.30,0.10,74,Monitoring,14,2s ago
37588,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,85.90,86.05,0.15,87,At risk,15,3s ago
37589,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,87.60,87.80,0.20,8,Open,16,4s ago
37590,Cotton Nov 26,Singapore,D-2874,Luca Perez,89.30,89.55,0.25,17,Filled,17,5s ago
37591,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,91.00,91.05,0.05,30,Monitoring,18,1s ago
37592,Wheat Mar 26,Sao Paulo,D-628,Noah Park,60.70,60.80,0.10,43,At risk,19,2s ago
37593,Copper May 26,Chicago,D-844,Iris Chen,62.40,62.55,0.15,56,Open,20,3s ago
37594,Nickel Jul 26,Singapore,D-1071,Sofia Bell,64.10,64.30,0.20,69,Filled,21,4s ago
37595,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,65.80,66.05,0.25,82,Monitoring,22,5s ago
37596,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,67.50,67.55,0.05,95,At risk,23,1s ago
37597,Cocoa Jan 26,Chicago,D-251,Maya Chen,69.20,69.30,0.10,12,Open,24,2s ago
37598,Cotton Mar 26,Singapore,D-628,Noah Park,70.90,71.05,0.15,25,Filled,25,3s ago
37599,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,72.60,72.80,0.20,38,Monitoring,26,4s ago
37600,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,74.30,74.55,0.25,51,At risk,27,5s ago
37601,Copper Sep 26,Chicago,D-1563,Theo Ivanov,76.00,76.05,0.05,64,Open,28,1s ago
37602,Nickel Nov 26,Singapore,D-2874,Luca Perez,77.70,77.80,0.10,77,Filled,29,2s ago
37603,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,79.40,79.55,0.15,90,Monitoring,12,3s ago
37604,Lithium Mar 26,Sao Paulo,D-628,Noah Park,81.10,81.30,0.20,8,At risk,13,4s ago
37605,Cocoa May 26,Chicago,D-844,Iris Chen,82.80,83.05,0.25,20,Open,14,5s ago
37606,Cotton Jul 26,Singapore,D-1071,Sofia Bell,84.50,84.55,0.05,33,Filled,15,1s ago
37607,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,86.20,86.30,0.10,46,Monitoring,16,2s ago
37608,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,87.90,88.05,0.15,59,At risk,17,3s ago
37609,Copper Jan 26,Chicago,D-251,Maya Chen,89.60,89.80,0.20,72,Open,18,4s ago
37610,Nickel Mar 26,Singapore,D-628,Noah Park,91.30,91.55,0.25,85,Filled,19,5s ago
37611,Aluminum May 26,Frankfurt,D-844,Iris Chen,61.00,61.05,0.05,8,Monitoring,20,1s ago
37612,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,62.70,62.80,0.10,15,At risk,21,2s ago
37613,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,64.40,64.55,0.15,28,Open,22,3s ago
